login,Total number of Repo activities,Unique number of Repo activities,Total number of PR activities,Unique number of PR activities,Total number of Issue activities,Unique number of Issue activities,Total number of Commit activities,Unique number of Commit activities,Number of following,Number of followers,Median Creation Time of the first activities,Text similarity,Text similarity of Comments Before Bot,Account tag,Account name,Account bio,Account login,Median Activity per Day,Cosine similarity,Cosine similarity of Comments Before Bot,Average Cosine similarity,Average Cosine similarity of Comments Before Bot,Average Text similarity,Average Text similarity of Comments Before Bot,Text similarity of Commit Messages,Cosine similarity of Commit Messages,Average Cosine similarity of Commit Messages,Average Text similarity of Commit Messages,Type,Data_Source
5iMON-bot,5,2,0,0,6,1,63,1,0,0,457.2166667,1,0,0,0,0,1,0,1,0,1,0,0.857142857,0,0,0,0,0,Bot,Issues/PRs
uias-bot,1,1,0,0,0,0,2,1,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0.75,0.75,3,Bot,Issues/PRs
form8ion-bot,26,2,0,0,88,1,0,0,0,0,3625.308333,0,33,0,0,0,1,0,1,0.928082192,0.99781552,0.918372683,0.357512953,74.29380994,0,0,0,0,Bot,Issues/PRs
p3x-robot,72,3,3,1,67,3,158,2,20,3,0,64,201,0,0,0,1,6,0.117258163,0.27227878,0.173794609,0.311889284,124.3690476,229.7083333,3,0.533001791,0.522205356,3.330783939,Human,Issues/PRs
Rozebot,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Bot,Issues/PRs
spinnakerbot,0,0,34,2,67,2,39,1,3,0,669.7041667,49,42,0,0,1,1,5,0.760695397,0.066226618,0.818410319,0.212436161,29.43078534,135.7450015,6,0.846153846,0.810917303,14.81818182,Bot,Issues/PRs
ericbottard,34,4,59,3,52,3,111,2,193,1,0,96,441,0,0,0,0,2,0.132196542,0.051415939,0.153472992,0.178243038,98.0026455,1221.704762,22,0,0.074163145,29.69984076,Human,Issues/PRs
jbottigliero,7,3,9,3,7,2,17,1,33,3,0,1477,1749,0,0,0,0,0,0.469357372,0.023574188,0.426885565,0.023574188,1423,1749,113,0.243657962,0.354522428,120.5102041,Human,Issues/PRs
JamesBotterill,8,2,0,0,14,2,0,0,2,0,0,152.5,156,0,0,0,0,0,0.328722969,0.224171253,0.35371431,0.209690986,131.45,203.2857143,0,0,0,0,Human,Issues/PRs
fn-bot,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Bot,Issues/PRs
kyma-bot,3,2,0,0,297,1,0,0,0,0,2590.9,238,70,0,1,0,1,64,0.675702556,0.078811041,0.69218459,0.250223225,655.373913,77.88135593,0,0,0,0,Bot,Issues/PRs
wmfs-bot,26,2,0,0,128,1,16,1,0,0,9936.483333,0,33,0,1,0,1,16,1,0.927648579,0.997083163,0.884734442,0.088655147,91.21928166,830,0.78431434,0.605227597,996.7272727,Bot,Issues/PRs
macaca-bot,0,0,0,0,37,1,0,0,6,0,0,84,64,0,0,1,1,0,0.366899693,0,0.38339437,0.049866573,335.5413534,97.68852459,0,0,0,0,Bot,Issues/PRs
botimer,9,3,21,3,8,1,10,1,12,0,0,144,314,0,0,0,0,0,0.21821789,0.343875526,0.167416984,0.343875526,287,314,75,0.200893083,0.20138918,71,Human,Issues/PRs
ApplozicBot,21,2,2,1,43,1,23,1,0,0,35.46666667,151,0,0,1,0,1,0,0.873209534,0,0.86355865,0,149.6467991,0,1,0.833333333,0.86263184,2.811023622,Bot,Issues/PRs
gpii-bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Bot,Issues/PRs
upbound-bot,18,1,0,0,12,1,52,1,0,0,6.866666667,6,0,0,1,0,1,0,0.911625475,0,0.890454473,0,5.53030303,0,0,0,0,0,Bot,Issues/PRs
landscape-bot,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Bot,Issues/PRs
voidraybot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Bot,Issues/PRs
watermarkchurch-bot,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Bot,Issues/PRs
openshift-cherrypick-robot,85,1,84,1,131,1,0,0,1,0,0,74.5,0,0,1,0,1,60,0.893223099,1,0.822252265,0.932984356,179.3724687,3.012002527,0,0,0,0,Bot,Issues/PRs
lonabot,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Bot,Issues/PRs
dabbott,41,4,20,2,21,2,217,1,743,1,0,194,536,0,0,0,0,1,0.286416575,0.545878428,0.322537019,0.495670607,677.5135135,590.5909091,13,0,0,13.71002805,Human,Issues/PRs
pluscodebot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Bot,Issues/PRs
jeffreymkabot,0,0,0,0,0,0,0,0,6,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
mobile-devx-github-bot,20,2,20,2,0,0,37,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,Human,Issues/PRs
lighthousebot,0,0,0,0,300,1,0,0,129,0,0,0,168.5,0,1,0,1,3,1,0.067971755,0.987813911,0.157331329,1.051347414,242.6649485,0,0,0,0,Bot,Issues/PRs
vaadin-bot,25,2,102,2,51,1,4,1,2,0,1.066666667,1114,147.5,0,1,0,1,16,0.867948456,0.216287547,0.80317297,0.222036598,1161.45,171.0714286,16,0,0.231080689,10.20547945,Bot,Issues/PRs
pouchrobot,18,1,12,1,77,2,13,1,9,1,0.016666667,55,29,0,1,0,1,1,0.325847312,0,0.561318283,0.102641009,66.14035088,36.38095238,0,1,1,0,Bot,Issues/PRs
raizlabs-oss-bot,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,Bot,Issues/PRs
