login,Total number of Repo activities,Unique number of Repo activities,Total number of PR activities,Unique number of PR activities,Total number of Issue activities,Unique number of Issue activities,Total number of Commit activities,Unique number of Commit activities,Number of following,Number of followers,Median Creation Time of the first activities,Text similarity,Text similarity of Comments Before Bot,Account tag,Account name,Account bio,Account login,Median Activity per Day,Cosine similarity,Cosine similarity of Comments Before Bot,Average Cosine similarity,Average Cosine similarity of Comments Before Bot,Average Text similarity,Average Text similarity of Comments Before Bot,Text similarity of Commit Messages,Cosine similarity of Commit Messages,Average Cosine similarity of Commit Messages,Average Text similarity of Commit Messages,Type,Data_Source
asoldano,26,1,85,3,39,1,64,1,33,0,1290.841667,111.5,76.5,0,0,0,0,0,0.105436116,0.092067381,0.130519112,0.117295999,180.4753086,120.9719626,16.5,0.182574186,0.243477166,22.08358919,Human,Issues/PRs
stephanlindauer,11,4,3,2,1,1,17,1,42,34,0,60,0,0,0,0,0,0,0,0,0.027874734,0,59,0,1,0,0.387096774,3.451612903,Human,Issues/PRs
trentmwillis,25,5,17,2,3,2,10,1,181,6,2403.283333,204,147,0,0,0,0,0,0.05,0.187906768,0.110822114,0.157943018,154,139,16,0,0,14.97657615,Human,Issues/PRs
platinumazure,9,2,39,3,22,2,48,1,57,2,0,205.5,143.5,0,0,0,0,0,0.256931662,0.206915246,0.251150593,0.210590832,243.1456954,193.9040404,20.5,0.111803399,0.129715673,20.85917456,Human,Issues/PRs
mdamien,31,3,39,3,92,3,106,2,113,79,0,101,207,0,0,0,0,12,0.108033954,0.283505757,0.12854255,0.293786496,183.3723849,292.9677419,15.5,0,0,16.40812474,Human,Issues/PRs
boogheta,20,5,23,2,118,4,44,2,61,12,25.08333333,120,112,0,0,0,0,0,0.093525986,0.084515425,0.132020032,0.113434989,140.46,175.3106796,20.5,0,0.04743364,22.042896,Human,Issues/PRs
sebastianbergmann,8,3,13,2,48,3,214,1,5656,0,0,108,300,0,0,0,0,5,0.140625,0.113484494,0.158186518,0.173454611,367.9160305,455.2333333,12,0,0.102959093,13.83351457,Human,Issues/PRs
willemstuursma,17,3,22,3,35,3,32,2,49,7,0,70,63,0,0,0,0,0,0.100251891,0.125244858,0.135546297,0.139982871,125.527027,357.969697,40.40740741,0.296499727,0.313027598,36.98009016,Human,Issues/PRs
mnapoli,33,4,52,3,116,3,62,1,926,57,3.391666667,126,219,0,0,0,0,20.5,0.141421356,0.200986886,0.160807908,0.203411714,186.2096484,328.329366,21,0,0.057577393,34.55490616,Human,Issues/PRs
garyb,14,4,27,3,91,3,14,1,271,19,0,130,109.5,0,0,0,0,1,0.232596839,0.147317437,0.234267302,0.164649704,200.2935323,193.1976744,15,0.105409255,0.191408,20.52493493,Human,Issues/PRs
markerikson,17,2,51,3,175,4,33,1,2370,3,58.7,233,415,0,0,0,0,9,0.20410971,0.2058121,0.217394473,0.245480941,370.9221774,546.9943503,23.06318681,0,0.091338279,32.22923064,Human,Issues/PRs
edorivai,1,1,4,2,14,3,3,1,11,1,3899.466667,93.5,205.5,0,0,0,0,0,0.204345414,0.238154462,0.196558461,0.232520484,134.7857143,318.0666667,6.5,0,0.333333333,4.611111111,Human,Issues/PRs
domtronn,17,4,8,2,7,2,81,1,64,1,35.95,173.5,197,0,0,0,0,0,0.197259007,0.734494357,0.191261023,0.822012954,155.75,137.6666667,21.5,0,0.08051939,23.02052988,Human,Issues/PRs
facetoe,15,2,9,2,17,2,12,1,30,13,1073.6375,53.5,289,0,0,0,0,0,0.076279001,0.200975956,0.104998546,0.224397492,104.6969697,299.8,19.5,0,0,19.5,Human,Issues/PRs
alvin-reyes,8,4,22,2,14,2,23,1,37,11,0,24,36,0,0,0,0,0,0.21821789,0.109108945,0.21821789,0.109108945,24,36,13.77777778,0.666666667,0.615159404,13.10792735,Human,Issues/PRs
stoneChen,3,3,1,1,3,2,2,1,41,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
ustbhuangyi,15,3,3,1,2,1,11,1,8110,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0.2,4.4,Human,Issues/PRs
cdepillabout,23,4,77,3,62,3,65,2,187,14,0,110,112,0,0,0,0,6,0.166666667,0.110940039,0.178513111,0.124530921,223.6721311,169.9963031,31.62593985,0.274095875,0.264641193,30.68959266,Human,Issues/PRs
mvidner,39,4,81,3,37,2,56,2,46,6,0,103,133,0,0,0,0,1,0.133366267,0.05981486,0.159988603,0.144820528,211.5433071,190.6363636,45.5,0,0.079758698,50.53003338,Human,Issues/PRs
jreidinger,60,3,91,3,10,1,74,1,29,0,0,64.5,151,0,0,0,0,5,0.141413744,0.094150231,0.133188224,0.135602153,89.625,152.2,17.5,0,0.13148021,20.02525533,Human,Issues/PRs
panaaj,35,4,4,1,40,3,50,1,2,0,1057.3125,100,133,0,0,0,0,0,0.165379646,0.249323409,0.1915517,0.247165366,110.9704433,124.5517241,11.92261905,0,0.121223723,12.68917835,Human,Issues/PRs
kbahr,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
Casyfill,6,3,7,2,4,2,12,1,82,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.40909091,0.141421356,0.30373659,17.44870303,Human,Issues/PRs
luboshl,1,1,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
mhart,72,4,5,3,135,3,81,1,604,1,32.71666667,119,193,0,0,0,0,4,0.151584766,0.199856124,0.169291635,0.233273303,151.6675497,452.9583333,10.38095238,0,0,15.74932429,Human,Issues/PRs
terinjokes,89,5,16,3,56,3,83,1,336,239,0,74,79,0,0,0,0,1,0.128623939,0.1,0.127847893,0.118521829,79.44444444,99.72972973,0,1,0.650676526,10.65336092,Human,Issues/PRs
nauvalazhar,7,1,16,2,9,3,51,1,214,24,0,467,49.5,0,0,0,0,0,0.062257281,0.148907071,0.091060782,0.135309342,360.6666667,56.5,14.5,0,0.164722178,20.5454936,Human,Issues/PRs
bitwiseman,6,2,96,4,63,2,51,1,172,11,3406.55,158,286,0,0,0,0,0,0.158315381,0.143658278,0.180910886,0.162561534,187.7295918,597.6130952,39.96666667,0.075377836,0.157746708,39.61165937,Human,Issues/PRs
jvassev,2,1,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
Lyokone,2,2,1,1,2,1,0,0,42,4,65028.56667,55,290,0,0,0,0,3,0.195180015,0.171903541,0.195180015,0.171903541,55,290,0,0,0,0,Human,Issues/PRs
adrianstevens,10,3,6,2,11,2,81,1,147,68,6435.416667,78.5,101.5,0,0,0,0,0,0.132949538,0.361319327,0.148683818,0.361319327,73.11111111,101.5,19,0.113227703,0.145290528,19.15352144,Human,Issues/PRs
mwarkentin,108,4,15,3,107,3,18,1,64,28,0,115,234,0,0,0,0,1,0.112245316,0.183555775,0.154107785,0.201633179,284.470339,286.2376238,19,0.112466058,0.216714588,21.30646568,Human,Issues/PRs
dicearr,6,2,4,1,5,1,4,1,13,6,0,230,0,0,0,0,0,0,0.057807331,0,0.057807331,0,230,0,12.8125,0.782780364,0.844075798,9.279761905,Human,Issues/PRs
fwigorcferreira,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
JohnEstropia,20,5,5,3,37,4,57,1,156,14,0,96,151,0,0,0,0,0,0.140028008,0.178840734,0.155113661,0.179025814,175.097561,494.7721519,12.5,0,0.118420881,14.7137118,Human,Issues/PRs
cspray,0,0,0,0,0,0,0,0,44,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
hbrunn,36,2,71,3,36,1,72,2,101,0,0,84,125,0,0,0,0,0,0.1028689,0.127855665,0.147546075,0.155519553,129.0285714,117.9886364,12.9,0.267261242,0.331634779,14.93493819,Human,Issues/PRs
bluca,26,2,63,3,91,4,74,1,91,0,50.23333333,192,204,0,0,0,0,2,0.134572622,0.137405113,0.168182962,0.169397448,470.8781457,377.8125,65.97826087,0.199204768,0.280362222,84.73961589,Human,Issues/PRs
dlepaux,30,4,7,2,3,2,15,1,30,86,0,173,0,0,0,0,0,0,0.153573779,0,0.153573779,0,173,0,15.3,0.667423812,0.737556662,10.49939394,Human,Issues/PRs
hariramsvnit,0,0,0,0,0,0,0,0,12,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
alexarchambault,58,5,96,3,13,2,123,1,241,0,0,181,115.5,0,0,0,0,8,0.22229531,0.118889079,0.227308824,0.120599273,205.3617021,127.3636364,81.48611111,0.135768847,0.162760196,91.08502388,Human,Issues/PRs
mhilton,41,3,52,3,6,1,44,1,15,0,4.483333333,138,0,0,0,0,0,0,0.29379,0,0.274229212,0,129.6666667,0,45.98611111,0.177587871,0.228035366,53.93807147,Human,Issues/PRs
hmemcpy,63,4,48,3,70,3,112,1,415,32,0,53,71,0,0,0,0,2,0.043426983,0.055045904,0.085620867,0.079606028,4345.290146,179.1538462,25,0,0.137370365,27.39556204,Human,Issues/PRs
mt-micky,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
chrisfarber,5,1,0,0,0,0,0,0,29,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
eliamaino-fp,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
swistach,43,3,47,3,23,3,89,2,23,10,4280.391667,109,119.5,0,0,0,0,1,0.193022008,0.183403592,0.176700907,0.191588741,131.3090909,142.6071429,31.41176471,0.113960576,0.160390201,84.03041823,Human,Issues/PRs
AlexeyRaga,8,3,9,3,7,3,13,1,54,0,0,109,305,0,0,0,0,0,0.071066905,0.272864671,0.099779641,0.272864671,103,305,11.5,0,0.17046516,12.75799979,Human,Issues/PRs
madmurphy,113,4,2,2,28,2,42,1,17,0,0,1085,331.5,0,0,0,0,0,0.349118974,0.224535366,0.365955079,0.258108415,1206.824242,2628.119048,0.833333333,0.5,0.536484245,5.661276949,Human,Issues/PRs
mdiep,2,2,1,1,1,1,5,1,613,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0.030081937,14.11428571,Human,Issues/PRs
argon,5,4,1,1,0,0,0,0,152,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
yaohaizh,7,1,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
joeferner,31,4,5,2,14,3,82,1,203,2,25.61666667,1162,314,0,0,0,0,0,0.648163221,0.197725859,0.648163221,0.261759934,1162,473,9.5,0,0.077702515,11.39883601,Human,Issues/PRs
ZhipingYang,4,2,0,0,0,0,2,1,306,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
benureau,0,0,0,0,7,2,0,0,25,10,289.8,223.5,165.5,0,0,0,0,0,0.235450349,0.216775434,0.278496127,0.268279809,740.625,169.5,0,0,0,0,Human,Issues/PRs
jedrzejchalubek,7,2,1,1,9,3,7,1,201,13,5.2,151.5,0,0,0,0,0,0,0.132598709,0,0.132598709,0,151.5,0,14.42857143,0.798142397,0.599380799,20.47619048,Human,Issues/PRs
nojimage,49,6,14,3,7,2,30,1,86,55,0,186.5,121,0,0,0,0,0,0.179353901,0.189937692,0.202278886,0.189937692,187.25,121,18.75,0,0.064227633,20.35785239,Human,Issues/PRs
ashleynolan,19,2,28,3,5,1,18,1,60,8,0,169,682,0,0,0,0,0,0.551726079,0.077793786,0.551726079,0.077793786,169,682,27,0.183547399,0.368059534,70.99675688,Human,Issues/PRs
parkr,91,5,60,3,33,3,76,1,1204,278,0,50,0,0,0,0,0,0,0.042248283,1,0.121623313,1,65.6,0,24.83333333,0,0.143388897,29.01445353,Human,Issues/PRs
robinwassen,14,3,3,2,2,1,11,1,24,24,0,0,0,0,0,0,0,30,0,0,0,0,0,0,22,0.136082763,0.18680664,26.14523073,Human,Issues/PRs
jantimon,22,2,13,3,221,4,38,1,307,62,0,99,183,0,0,0,0,6,0.168393829,0.155706769,0.179380758,0.171029696,151.5705194,289.1730465,23.5,0,0.137757089,26.31254941,Human,Issues/PRs
edi9999,10,2,2,2,133,4,31,1,95,76,0,160,193,0,0,0,0,1,0.191047295,0.114707867,0.204045337,0.131171067,301.3835965,282.0725191,0,0,0,0,Human,Issues/PRs
ceball,38,4,57,4,112,4,62,2,30,5,15.425,369.5,130,0,0,0,0,0,0.137930401,0.15138341,0.168857796,0.179100416,680.4221311,201.2035398,18,0,0.082828696,35.04266601,Human,Issues/PRs
SvetoslavTsenov,0,0,0,0,0,0,0,0,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
yuzushioh,5,1,0,0,0,0,0,0,159,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
nchammas,28,3,18,3,11,2,12,1,49,31,0,294,494.5,0,0,0,0,0,0.304255532,0.356746461,0.304853484,0.356412808,251.787234,542.4285714,15.33333333,0,0.128819144,15.16944444,Human,Issues/PRs
fwenzel,3,2,1,1,2,1,3,1,144,93,0,1045.5,123.5,0,0,0,0,0,0.067944869,0.274569706,0.082120336,0.245628183,1034,125,22.75,0,0,22.15625,Human,Issues/PRs
pmclanahan,0,0,0,0,0,0,0,0,71,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
philippfromme,30,3,50,3,66,4,99,2,72,91,0,119,86,0,0,0,0,2,0.103362279,0.077849894,0.135324191,0.124586189,123.9684211,114.4576271,29.5,0,0.17504742,40.0749168,Human,Issues/PRs
caridy,18,2,100,3,47,3,32,1,345,20,0,118,331,0,0,0,0,1,0.137646543,0.161000514,0.174216321,0.179150599,172.3213531,551.4537313,3.866666667,0.75,0.569781196,14.96793155,Human,Issues/PRs
ericf,1,1,0,0,0,0,0,0,814,67,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
doofin,12,3,2,1,11,2,6,1,46,43,0,51,142.5,0,0,0,0,0,0,0.058464758,0.031504782,0.0495184,48.57142857,138.25,4.5,0.75,0.666666667,4.666666667,Human,Issues/PRs
securityclippy,0,0,0,0,0,0,1,1,31,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
fabienjuif,10,2,0,0,0,0,1,1,49,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
dmetzgar,0,0,0,0,0,0,0,0,97,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
ewinnington,24,2,1,1,6,2,8,1,7,8,0,61,914,0,0,0,0,0,0.159903598,0.267663038,0.190902211,0.267663038,246.7,914,16.45,0.15430335,0.313781115,13.28945221,Human,Issues/PRs
amitzur,43,2,87,3,19,2,124,2,14,2,511.4333333,85.5,51,0,0,0,0,3,0.125479011,0.091287093,0.145617142,0.113888441,184.2238095,53.38095238,17,0,0.065478571,19.19452736,Human,Issues/PRs
josetaira,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
jaredhanson,17,1,1,1,4,2,45,1,2907,63,11661.65833,419,388,0,0,0,0,0,0.371383291,0.101353523,0.367815784,0.101353523,364,388,11.5,0,0,12.14349101,Human,Issues/PRs
plusgut,195,5,2,1,0,0,27,1,53,117,0,0,0,0,0,0,0,1,0,0,0,0,0,0,22.25,0,0.096936697,30.42207425,Human,Issues/PRs
NgoHuy,1,1,0,0,1,1,0,0,23,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
xiongchiamiov,0,0,0,0,2,1,0,0,117,86,0,216,0,0,0,0,0,2,0.495242761,0,0.495242761,0,216,0,0,0,0,0,Human,Issues/PRs
aquynh,16,5,34,3,62,2,77,1,942,0,153.6833333,16,67,0,0,0,0,0,0,0.086026479,0.323997899,0.095027501,21.06955381,77.25925926,14,0,0.099829286,18.44552135,Human,Issues/PRs
mrocklin,4,2,75,3,151,3,26,1,1435,0,0,332,288,0,0,0,0,15,0.181449137,0.170706373,0.203191449,0.196494695,542.3307048,415.9558514,40.75,0,0.00637059,88.74835526,Human,Issues/PRs
sc0Vu,90,5,30,3,29,3,132,1,99,44,0,83,104,0,0,0,0,3,0.097230559,0.041030497,0.135027555,0.076232268,92.43589744,198.6,25.95833333,0.258543845,0.265330795,60.32220944,Human,Issues/PRs
itsdalmo,10,3,8,3,7,3,16,1,23,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5,0,0.203345489,30.77500997,Human,Issues/PRs
bweston92,34,5,11,2,27,2,21,1,48,168,0,69,160,0,0,0,0,0,0.091718072,0.042796049,0.133983645,0.111767156,138.4516129,189.9473684,12.95227273,0.167445289,0.183090136,14.92101336,Human,Issues/PRs
zaquestion,29,7,64,3,98,4,42,1,59,31,251.0333333,158,214.5,0,0,0,0,0,0.196396101,0.118625066,0.206569794,0.152522188,251.6977822,452.2197802,62.75,0.167541563,0.204769029,131.1264056,Human,Issues/PRs
inokappa,30,4,4,2,6,3,25,1,67,95,0.258333333,0,0,0,0,0,0,0,1,0,1,0,0,0,6,0,0.136143693,8.340277778,Human,Issues/PRs
mxsasha,54,5,37,3,22,3,165,1,198,0,927.45,235,182,0,0,0,0,0,0.21408721,0.112289499,0.225685411,0.147319856,304.9753086,228.75,20,0,0.063970936,21.31061003,Human,Issues/PRs
lipis,53,4,73,3,43,3,95,1,981,164,197.8,48,169,0,0,0,0,12.5,0.053040339,0.170457297,0.087655619,0.253133112,51.42105263,169.5428571,8.75,0.730296743,0.413685331,15.46370537,Human,Issues/PRs
lepture,13,6,33,4,110,3,57,1,8191,80,0,82,396,0,0,0,0,0,0.083624201,0.162359945,0.107009262,0.170799841,93.78060863,1220.735202,22.94444444,0,0.052890866,28.18568204,Human,Issues/PRs
petersirka,3,1,4,2,11,2,280,1,347,3,32.44166667,197,171,0,0,0,0,9,0.184422513,0.08,0.183885072,0.177594877,203.2878788,226.3333333,0,0,0,0,Human,Issues/PRs
leekelleher,33,5,28,3,67,3,69,2,155,296,16.83333333,117,84,0,0,0,0,0,0.129504782,0.17349448,0.150789088,0.171913753,140.9507495,97.95876289,38.5,0,0.079423064,49.62882977,Human,Issues/PRs
jonathanong,6,3,4,1,5,2,4,1,1951,143,2608.770833,71,184,0,0,0,0,0,0,0.130465615,0.029012943,0.130465615,57,184,0,0,0,0,Human,Issues/PRs
ptrthomas,42,2,23,2,92,3,92,2,112,11,0,129,270,0,0,0,0,7,0.131947884,0.18903501,0.151047025,0.206803639,139.4975728,383.10381,26.5,0,0.055330729,48.40759771,Human,Issues/PRs
BlazZupan,0,0,1,1,3,1,7,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.75,0,0.096225045,9.966666667,Human,Issues/PRs
loburm,6,2,6,2,13,3,10,1,18,0,0,21,120,0,0,0,0,0,0,0.270504046,0.175699217,0.270504046,110.7272727,120,23.3,0.51914011,0.519630788,20.65748168,Human,Issues/PRs
jerriep,4,1,0,0,1,1,2,1,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
nshumoogum,57,4,79,3,2,1,51,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.72619048,0.091766294,0.223073267,47.28935774,Human,Issues/PRs
plribeiro3000,10,4,7,3,25,3,8,1,49,0,0,69.5,60,0,0,0,0,0,0.083333333,0.151687274,0.146630774,0.159897959,117.6081081,78.47619048,10.5,0,0.25,16.75,Human,Issues/PRs
geemus,8,2,33,2,50,2,79,1,455,35,2748.366667,134,129,0,0,0,0,1,0.169841555,0.168264045,0.188221018,0.195026787,142.773399,649.2110092,16.91666667,0.507092553,0.460584819,18.20391887,Human,Issues/PRs
xPaw,37,5,31,3,93,3,111,2,1429,5,0,71,105,0,0,0,0,4,0.107211253,0.141421356,0.127026616,0.155413042,71.14447592,134.6616541,14.5,0,0.056848687,19.34912274,Human,Issues/PRs
dks17,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
dbu,43,3,88,3,69,2,52,1,377,0,163.7375,117,103,0,0,0,0,4.5,0.12792043,0.15430335,0.158484989,0.180629867,120.3034483,140.630137,23.375,0.437959775,0.458419725,23.32993279,Human,Issues/PRs
simonbrandhof,4,4,0,0,2,1,0,0,48,6,0,186,268.5,0,0,0,0,0,0.167725574,0.208729128,0.208038165,0.19801792,229.4666667,298.6,13.45454545,0,0.025896426,12.42832806,Human,Issues/PRs
willemdj,2,1,1,1,6,2,1,1,16,0,1139.566667,79.5,118,0,0,0,0,0,0.28598876,0.194454365,0.262646274,0.187615508,149.9,112.6666667,0,0,0,0,Human,Issues/PRs
jrichter1,30,2,56,3,66,3,59,1,5,0,0,158,281,0,0,0,0,0,0.184327182,0.154518297,0.194773786,0.174220975,189.4576803,502.4030612,11.5,0,0,11.89859715,Human,Issues/PRs
barakman,13,2,80,3,1,1,149,1,8,0,0,0,0,0,0,0,0,18.5,0,0,0,0,0,0,45,0,0.136052233,38.21884927,Human,Issues/PRs
warner,31,4,76,3,90,3,26,1,764,1,0,1383,323.5,0,0,0,0,2,0.302105868,0.212503071,0.335751459,0.231550171,1587.706627,448.96,224.4810127,0.15001172,0.225100229,204.1629818,Human,Issues/PRs
fassko,59,4,35,2,99,3,86,1,111,85,0,43,89,0,0,0,0,3,0.159490445,0.246182982,0.193779232,0.237740615,45.88534866,113.677686,14,0,0.083191134,18.80971725,Human,Issues/PRs
daltoniam,1,1,0,0,5,1,0,0,478,23,19923.25,221,153.5,0,0,0,0,0,0.429370328,0.151805235,0.410694777,0.166364681,208.9,168.5,0,0,0,0,Human,Issues/PRs
michaeltchapman,6,3,2,2,0,0,7,1,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5,0,0.076054795,147.897755,Human,Issues/PRs
BenjaSanchez,43,4,40,3,95,4,53,1,32,25,0,117,154,0,0,0,0,0,0.136930639,0.182262691,0.161583954,0.196479806,156.4666667,263.3823529,25.86666667,0.361145614,0.437439308,24.94739015,Human,Issues/PRs
IVANDOMENZAIN,21,3,25,2,13,2,58,2,16,4,0,199.5,285,0,0,0,0,0,0.453285337,0.323325996,0.401610392,0.323325996,191.4,285,33.25,0.387298335,0.401646114,27.33267398,Human,Issues/PRs
oberstet,35,5,52,3,97,3,66,1,190,10,38.11666667,221,305,0,0,0,0,2,0.172209721,0.169807814,0.185902467,0.206502079,362.8654485,410.2671233,18.875,0,0.215486492,19.36678705,Human,Issues/PRs
kanitw,32,2,42,4,24,3,65,2,279,12,0,55,56,0,0,0,0,0,0.076034118,0.087038828,0.170263526,0.100404561,114.2777778,284.047619,19.5,0.176776695,0.253118255,21.94264376,Human,Issues/PRs
henrytk,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
superbobry,6,3,5,2,10,1,5,1,323,39,0,101.5,80,0,0,0,0,0,0.161412455,0.151185789,0.136676929,0.127609497,102.1666667,110.6666667,50.97826087,0.460566186,0.38669118,55.46738553,Human,Issues/PRs
vlio20,31,4,20,2,48,3,41,1,37,2,0,33,96,0,0,0,0,0,0.054554473,0.132453236,0.108083349,0.129155805,64.92118227,137.8837209,10,0,0.093621196,17.33682901,Human,Issues/PRs
dbashford,0,0,0,0,0,0,0,0,86,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
jordan-wright,19,6,31,2,155,4,38,1,566,27,6608.2,158,163.5,0,0,0,0,2,0.21691355,0.149331358,0.219253947,0.173560331,189.4132818,216.4704301,35,0,0.084946349,33.86006094,Human,Issues/PRs
Ladsgroup,55,3,90,3,31,1,65,2,105,26,11.675,184.5,178,0,0,0,0,2,0.185907575,0.255855397,0.199535427,0.270389877,249.7624113,182.7225806,104.5,0.08247861,0.119197851,110.8988325,Human,Issues/PRs
0nism,29,3,0,0,7,2,9,1,20,23,308.2166667,261,90,0,0,0,0,0,0.271251731,0.236112534,0.233542585,0.236112534,248.2666667,90,0,0,0,0,Human,Issues/PRs
Photonios,43,3,20,3,32,2,40,1,46,4,6426.116667,119,211.5,0,0,0,0,0,0.278140552,0.103212255,0.289719575,0.113799152,137.5697674,238.5833333,27.22058824,0.032410186,0.159656264,49.13026591,Human,Issues/PRs
RangerMauve,48,4,29,3,130,4,61,1,331,237,0,76,138,0,0,0,0,7,0.125683738,0.092450033,0.138741994,0.124819141,89.88457143,205.4302789,9.636363636,0.824957911,0.824957911,9.636363636,Human,Issues/PRs
connorskees,30,2,14,3,17,3,44,1,15,24,0,147,172,0,0,0,0,0,0.21741792,0.197202659,0.249989853,0.242482169,185.3125,163.6666667,17.45,0,0.042078729,18.24077124,Human,Issues/PRs
jcesarmobile,34,2,70,4,86,2,48,1,244,26,308.2666667,89,173,0,0,0,0,8.5,0.188982237,0.091162311,0.198343549,0.157887044,98.14634146,150,20,0,0.125689811,23.94016203,Human,Issues/PRs
pioneerskies,20,5,7,3,27,3,32,1,28,4,0,166,181,0,0,0,0,0,0.240990093,0.157483268,0.270914135,0.170539113,480.3896104,393.4482759,23.5,0,0.073636728,24.93202226,Human,Issues/PRs
cbpowell,51,6,2,1,51,3,58,1,119,11,76.83333333,275.5,167.5,0,0,0,0,0,0.23294224,0.21246864,0.24508658,0.217724714,254.1446701,278.9642857,14,0,0.109239607,15.57894552,Human,Issues/PRs
technomancy,38,4,9,3,62,3,104,2,1907,0,0,142,137,0,0,0,0,1,0.161164593,0.111998009,0.178743604,0.125452693,202.4695864,352.4848485,30,0,0.079804035,79.1724569,Human,Issues/PRs
thedevelobear,1,1,7,2,2,2,25,1,27,0,48224.6,0,0,0,0,0,0,0,0,0,0,0,0,0,47.5,0,0.26923975,36.77232143,Human,Issues/PRs
kvolkovich-sc,0,0,0,0,0,0,0,0,20,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
nicwortel,3,1,0,0,1,1,12,1,39,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.48611111,0.089980739,0.176674084,36.63596178,Human,Issues/PRs
mjancarik,63,3,38,3,9,3,106,1,6,0,0,49.5,159,0,0,0,0,0,0.166095769,0.062869461,0.15185812,0.062869461,47.5,159,19,0,0,26.27502569,Human,Issues/PRs
bogdan0083,41,1,2,1,0,0,12,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
Dan503,26,4,30,3,89,3,39,1,19,0,0,185.5,195,0,0,0,0,0,0.218518237,0.203419051,0.235218548,0.193652348,250.3975,761.9908257,26.5,0,0.094448814,43.59026727,Human,Issues/PRs
jfrolich,29,6,15,3,136,3,26,1,50,134,59.32916667,130,244.5,0,0,0,0,1,0.207141984,0.196687205,0.209895238,0.212415214,173.3215805,317.4728033,13.5,0,0.058106573,15.22476401,Human,Issues/PRs
jorilallo,4,1,3,1,6,2,12,1,229,4,82825.9875,85,0,0,0,0,0,0,0,0,0,0,65.33333333,0,13,0,0.146578392,12.76941538,Human,Issues/PRs
